,,,The Show,Show Champion,Mcountdown,Music Bank,Music Core,Inkigayo,Music on Top,,,,,,,,
Exo,2012,107,2,17,19,33,19,17,,,,,,,,,
SNSD,2007,98,2,4,18,42,5,27,,,,,,,,,3050
Twice,2015,97,2,14,20,24,9,28,,,,,,,,,
BTS,2013,90,5,13,10,27,17,18,,,,,,,,,
Big Bang,2006,87,,1,23,27,5,30,1,,,,,,,,
Red Velvet,2014,73,8,12,15,13,8,17,,,,,,,,,
Gfriend,2015,66,14,11,12,13,4,12,,,,,,,,,
IU,2008,62,,3,5,19,11,23,1,,,,,,,,
Beast/Highlight,2009,59,2,6,14,16,10,11,,,,,,,,,
Shinee,2008,59,3,10,11,16,2,17,,,,,,,,,
Super Junior,2005,59,,5,14,20,2,18,,,,,,,,,
Shinhwa,1998,53,,4,11,10,4,24,,,,,,,,,
Wanna One,2017,49,6,11,8,10,12,2,,,,,,,,,
Psy,2001,47,,,12,21,1,13,,,,,,,,,
TVXQ,2003,46,,,17,8,1,20,,,,,,,,,
2ne1,2009,43,,,15,9,2,17,,,,,,,,,
Apink,2011,43,7,7,7,8,8,6,,,,,,,,,
Infinite,2010,43,2,7,13,8,5,8,,,,,,,,,
Sistar,2010,43,,6,9,14,3,11,,,,,,,,,
2PM,2008,41,1,,14,15,,11,,,,,,,,,
Mamamoo,2014,41,7,6,11,6,2,9,,,,,,,,,
Wonder Girls,2007,40,1,2,8,17,,12,,,,,,,,,
g.o.d,1999,36,,,1,6,4,25,,,,,,,,,
Yoo Seung Jun,1997,36,,,,17,,19,,,,,,,,,
CNBlue,2010,35,4,7,7,12,,5,,,,,,,,,
f(x),2009,33,1,4,11,8,1,8,,,,,,,,,
Vixx,2012,30,14,6,1,5,1,3,,,,,,,,,
Seventeen,2015,30,2,10,7,9,1,1,,,,,,,,,
T-ara,2009,29,1,,9,6,,9,4,,,,,,,,
Got7,2014,29,7,2,6,9,1,4,,,,,,,,,
Sechs Kies,1997,29,,,1,15,2,11,,,,,,,,,
Itzy,2019,29,,5,7,4,5,8,,,,,,,,,
G Dragon,2009,28,,1,9,8,2,8,,,,,,,,,
Im Chang Jung,1995,28,,1,,10,1,16,,,,,,,,,
iKon,2015,27,,3,10,2,5,7,,,,,,,,,
Kara,2007,26,1,4,8,8,,5,,,,,,,,,
Lee Hyori,2003,25,,1,6,4,,14,,,,,,,,,
Fin.K.L,1998,25,,,,9,,16,,,,,,,,,
F.T.Island,2007,25,3,1,7,4,,7,3,,,,,,,,
4minute,2009,23,,7,9,,1,6,,,,,,,,,
Winner,2013,23,,,11,2,3,7,,,,,,,,,
S.E.S,1997,23,,,,9,,14,,,,,,,,,
BoA,2000,23,,1,2,3,,17,,,,,,,,,
Rain ,2002,23,,,7,4,,12,,,,,,,,,
Exid,2012,22,8,5,2,2,,5,,,,,,,,,
SG Wannabe,2004,22,,,9,,,13,,,,,,,,,
Blackpink,2016,21,,,4,1,4,12,,,,,,,,,
Taeyang,2008,21,,,9,2,1,9,,,,,,,,,
Taeyeon,2015,21,,1,4,6,3,7,,,,,,,,,
Jo Sungmo,1998,20,,,2,9,,9,,,,,,,,,
Davichi,2008,20,,1,4,6,2,7,,,,,,,,,
MC Mong,2004,19,,,4,5,1,9,,,,,,,,,
Lee Seung Gi,2004,18,,,9,2,,7,,,,,,,,,
SNSD TTS,2012,17,,3,5,4,1,4,,,,,,,,,
SS501,2005,17,,,7,4,,6,,,,,,,,,
Epik High,2003,17,,,6,2,3,6,,,,,,,,,
H.O.T,1996,17,,,,6,,11,,,,,,,,,
Sunmi,2013,16,,2,4,1,2,7,,,,,,,,,
B1A4,2011,16,1,6,1,4,3,1,,,,,,,,,
Se7en,2003,16,,,7,,,9,,,,,,,,,
BTOB,2012,15,1,6,3,3,,2,,,,,,,,,
Kim Hyun Jung,1998,15,,,,9,,6,,,,,,,,,
Baek Ji Young,1999,15,,,,9,,6,,,,,,,,,
Miss A,2010,15,,2,5,3,,4,1,,,,,,,,
Soyou,2017,14,1,1,3,5,3,1,,,,,,,,,
Jewelry,2001,14,,,2,7,,5,,,,,,,,,
Wheesung,2002,14,,1,3,1,,9,,,,,,,,,
M.C. the Max,2000,14,,,3,,2,9,,,,,,,,,
Fly to the Sky,1999,14,,,2,1,1,10,,,,,,,,,
Iz*One,2018,14,6,3,4,1,,,,,,,,,,,
Brown Eyed Girls,2006,13,,,4,3,,6,,,,,,,,,
Kim Min Jong,1992,13,,,,4,,9,,,,,,,,,
Cool,1994,13,,,,1,,12,,,,,,,,,
Chung Ha,2017,13,,2,3,2,4,2,,,,,,,,,
Trouble Maker,2011,13,,2,5,2,1,2,1,,,,,,,,
Zico,2014,13,,,,3,4,6,,,,,,,,,
Jonghyun,2015,12,3,2,1,2,3,1,,,,,,,,,
Seungri,2008,12,,,7,,,5,,,,,,,,,
K.Will,2007,12,,3,3,3,1,2,,,,,,,,,
Sharp,1998,12,,,,8,,4,,,,,,,,,
Girl's Day,2010,12,1,3,2,,2,4,,,,,,,,,
Monsta X,2015,12,5,2,3,2,,,,,,,,,,,
Teen Top,2010,11,2,2,,5,,2,,,,,,,,,
Kim Jong Kook,2001,11,,,,2,,9,,,,,,,,,
Lee Hi,2012,11,,,7,,,4,,,,,,,,,
X1,2019,11,2,2,3,2,,2,,,,,,,,,
AKMU,2014,11,,,4,1,1,5,,,,,,,,,
Momoland,2016,11,3,2,3,1,,2,,,,,,,,,
Ailee,2012,10,,4,1,4,,1,,,,,,,,,
AOA,2012,10,2,5,1,,1,1,,,,,,,,,
2AM,2008,10,,2,2,3,,3,,,,,,,,,
I.O.I,2016,9,2,2,2,1,,2,,,,,,,,,
Busker Busker,2012,9,,1,3,2,2,1,,,,,,,,,
Buzz,2003,9,,,5,,,4,,,,,,,,,
Lee Jung Hyun,1999,9,,,,4,,5,,,,,,,,,
Tei,2004,9,,,1,,1,7,,,,,,,,,
Bolbbalgan4,2016,9,1,1,,1,2,4,,,,,,,,,
Nu'est,2012,9,,3,2,2,1,1,,,,,,,,,
NCT 127,2016,9,3,1,2,3,,,,,,,,,,,
Taemin,2014,8,1,2,1,3,1,,,,,,,,,,
Exo K,2012,8,,1,2,,2,3,,,,,,,,,
Block B,2011,8,,2,2,,1,3,,,,,,,,,
Baby V.O.X,1997,8,,,,3,,5,,,,,,,,,
(G)I-dle,2018,8,4,2,2,,,,,,,,,,,,
Oh My Girl,2015,8,4,2,1,,,1,,,,,,,,,
Kang Daniel,2019,7,2,1,1,2,1,,,,,,,,,,
Sistar19,2011,7,,1,3,3,,,,,,,,,,,
Kim Tae Woo,,7,,,2,3,,2,,,,,,,,,
B.A.P,,7,3,1,,2,,1,,,,,,,,,
Dynamic Duo,,7,,2,2,1,1,1,,,,,,,,,
Hong Kyung Min,,7,,,,5,,2,,,,,,,,,
Suzy,,7,,,,4,,3,,,,,,,,,
G.NA,,7,,,3,3,,1,,,,,,,,,
Country Kko Kko,,7,,,,3,,4,,,,,,,,,
Kim Gun Mo,,7,,,,3,,4,,,,,,,,,
Koyote,,7,,,,2,,5,,,,,,,,,
Turbo,,7,,,,1,,6,,,,,,,,,
1TYM,,7,,,,,,7,,,,,,,,,
Yang Yo Seob,,6,1,,3,2,,,,,,,,,,,
Mino,,6,,2,1,,2,1,,,,,,,,,
Secret,,6,,,1,3,,2,,,,,,,,,
Son Dambi,,6,,,1,2,,3,,,,,,,,,
SeeYa,,6,,,3,,,3,,,,,,,,,
Position,,6,,,,3,,3,,,,,,,,,
IVY,,6,,,2,,,4,,,,,,,,,
Park Hyo Shin,,6,,,2,,1,3,,,,,,,,,
Jang Na Ra,,6,,,,,,6,,,,,,,,,
AB6IX,,6,3,2,1,,,,,,,,,,,,
Cosmic Girls,,6,4,1,1,,,,,,,,,,,,
Kim Hyun Joong,,5,,,2,3,,,,,,,,,,,
Hyolyn,,5,1,1,1,1,1,,,,,,,,,,
Kyuhyun,,5,,1,2,1,1,,,,,,,,,,
Infinite H,,5,2,,1,,1,1,,,,,,,,,
SKY,,5,,,,4,,1,,,,,,,,,
Park Ji Yoon,,5,,,,3,,2,,,,,,,,,
Cho Yong Pil,,5,,1,,3,1,,,,,,,,,,
Shin Seung Hun,,5,,,,2,,3,,,,,,,,,
Lee Soo Young,,5,,,1,,,4,,,,,,,,,
NCT Dream,,5,5,,,,,,,,,,,,,,
Nu'est W,,4,,,1,3,,,,,,,,,,,
Clon,,4,,,,4,,,,,,,,,,,
GD & Top,,4,,,3,,,1,,,,,,,,,
Jung Eun Ji,,4,1,1,1,,,1,,,,,,,,,
Kim Sung Kyu,,4,2,,,1,1,,,,,,,,,,
Shin Hye Sung,,4,,,1,,,3,,,,,,,,,
Jung Yonghwa,,4,,1,,2,,1,,,,,,,,,
Hyuna,,4,,2,1,,,1,,,,,,,,,
Ga In,,4,,,1,2,,1,,,,,,,,,
Mad Clown,,4,,2,1,,,1,,,,,,,,,
Baek A Yeon,,4,,,2,1,,1,,,,,,,,,
Roy Kim,,4,,,1,,3,,,,,,,,,,
Yangpa,,4,,,1,,,3,,,,,,,,,
Gummy,,4,,,1,,,3,,,,,,,,,
Roo'ra,,4,,,,1,,3,,,,,,,,,
Leessang,,4,,,,1,,3,,,,,,,,,
jtL,,4,,,,,,4,,,,,,,,,
Park Jin Young,,4,,,,,,4,,,,,,,,,
UN,,4,,,,,,4,,,,,,,,,
Lee Ki Chan,,4,,,,,,4,,,,,,,,,
Sung Si Kyung,,4,,,,,,4,,,,,,,,,
TXT,,4,2,1,1,,,,,,,,,,,,
Chen,,4,,1,,1,1,1,,,,,,,,,
Lovelyz,,3,3,,,,,,,,,,,,,,
MBLAQ,,3,,,3,,,,,,,,,,,,
V.O.S,,3,,,3,,,,,,,,,,,,
Jay Park,,3,,,,3,,,,,,,,,,,
Brown Eyes,,3,,,,3,,,,,,,,,,,
Jennie,,3,,,,,,3,,,,,,,,,
Naul,,3,,,,2,,1,,,,,,,,,
Toy,,3,,,,2,1,,,,,,,,,,
Zion.T,,3,,1,,,1,1,,,,,,,,,
Uhm Jung Hwa,,3,,,,,,3,,,,,,,,,
Cha Tae Hyun,,3,,,,,,3,,,,,,,,,
Wax,,3,,,,,,3,,,,,,,,,
After School,,3,,,,,,3,,,,,,,,,
Eru,,3,,,,,,3,,,,,,,,,
S,,3,,,,,,3,,,,,,,,,
Heize,,3,,,,1,,2,,,,,,,,,
Ha Sung Woon,,3,1,2,,,,,,,,,,,,,
Ben,,3,,,,,,3,,,,,,,,,
Baekhyun,,3,,,,2,1,,,,,,,,,,
SF9,,3,,,2,1,,,,,,,,,,,
Kim Jae Hwan,,2,1,1,,,,,,,,,,,,,
Tiffany,,2,1,1,,,,,,,,,,,,,
Super Junior D&E,,2,1,,,1,,,,,,,,,,,
Lee Hong Gi,,2,1,,,1,,,,,,,,,,,
CLC,,2,2,,,,,,,,,,,,,,
Chae Yeon,,2,,,2,,,,,,,,,,,,
Boyfriend,,2,2,,,,,,,,,,,,,,
Lee Seung Chul,,2,,,2,,,,,,,,,,,,
Huh Gak,,2,,,1,1,,,,,,,,,,,
Yoon Jong Shin,,2,,,,2,,,,,,,,,,,
Hwang Chi Yeol,,2,,,,2,,,,,,,,,,,
M (Lee Min Woo),,2,,,1,,,1,,,,,,,,,
Kim Dong Wan,,2,1,,,,,1,,,,,,,,,
GD & Taeyang,,2,,,,,,2,,,,,,,,,
Son Hoyoung,,2,,,1,,,1,,,,,,,,,
N.Flying,,2,1,,,,,1,,,,,,,,,
The Grace,,2,,,1,,,1,,,,,,,,,
Yoon Do Hyun,,2,,,1,,,1,,,,,,,,,
Niel,,2,,,,1,1,,,,,,,,,,
Park Ji Hun,,2,,,,1,,1,,,,,,,,,
Minseo,,2,,,,1,,1,,,,,,,,,
HaHa,,2,,,,1,,1,,,,,,,,,
Gary ,,2,,,,,1,1,,,,,,,,,
Woody,,2,,,,,,2,,,,,,,,,
Chakra,,2,,,,,,2,,,,,,,,,
J,,2,,,,1,,1,,,,,,,,,
Drunken Tiger,,2,,,,,,2,,,,,,,,,
Click B,,2,,,,,,2,,,,,,,,,
Boohwal,,2,,,,,,2,,,,,,,,,
NRG,,2,,,,,,2,,,,,,,,,
Lexy,,2,,,,,,2,,,,,,,,,
Cho PD,,2,,,,,,2,,,,,,,,,
Turtles,,2,,,,,,2,,,,,,,,,
Younha,,2,,,,,,2,,,,,,,,,
Kim Dong Ryool,,2,,,,1,,1,,,,,,,,,
Hwasa,,2,,,,,2,,,,,,,,,,
ATEEZ,,2,1,,1,,,,,,,,,,,,
Day6,,2,,1,1,,,,,,,,,,,,
Stray Kids,,2,,,2,,,,,,,,,,,,
Victon,,2,2,,,,,,,,,,,,,,
Exo CBX,,1,1,,,,,,,,,,,,,,
Seohyun,,1,,,1,,,,,,,,,,,,
Vixx LR,,1,1,,,,,,,,,,,,,,
Leo ,,1,1,,,,,,,,,,,,,,
Nam Woo Hyun,,1,1,,,,,,,,,,,,,,
Zhou Mi,,1,1,,,,,,,,,,,,,,
Minah,,1,,1,,,,,,,,,,,,,
Kim Se Jeong,,1,,1,,,,,,,,,,,,,
DIA,,1,1,,,,,,,,,,,,,,
SS301,,1,1,,,,,,,,,,,,,,
Gaeko,,1,,,1,,,,,,,,,,,,
Seo In Young,,1,,,1,,,,,,,,,,,,
U-Kiss,,1,1,,,,,,,,,,,,,,
UNIQ,,1,1,,,,,,,,,,,,,,
Kim Dong Han,,1,1,,,,,,,,,,,,,,
Astro,,1,1,,,,,,,,,,,,,,
The Boyz,,1,1,,,,,,,,,,,,,,
John Park,,1,,1,,,,,,,,,,,,,
